Country_Name,Literacy,GDPpc,Workforce,Lifeex,Unemployment,Urbanpct,Elictricity
Afghanistan,31.74112,24984.27945,,75.158,,42.94,93.94237518
Albania,96.8453,599.2976298,8126681,61.666,8.229999542,23.948,43.22201891
Arab World,71.37224,4615.867475,9926136,59.042,7.360000134,60.528,34.6
Argentina,99.10833,4437.177794,1271832,77.031,13.97999954,53.247,100
Armenia,99.74441,41098.76694,,,,88.726,100
Azerbaijan,99.77863,6856.035033,118360432,70.22389424,10.29411822,56.66964106,86.78268328
Bangladesh,47.07731,40434.36635,6149579,76.498,3.305000067,84.423,100
Bolivia,92.22615,12726.90836,18830069,75.761,7.179999828,90.99,99.21616364
Bosnia and Herzegovina,98.14204,3526.978143,1404422,73.571,18.44000053,63.34,99.76715088
Brazil,91.41124,10375.99422,,,,87.502,
Brunei Darussalam,96.08556,11931.204,,75.574,,25.703,94.55201403
Bulgaria,98.35245,62411.78545,11859905,81.89512195,5.079999924,85.3,100
Chile,96.70301,51374.95841,4305299,80.98292683,4.559999943,57.115,100
Colombia,93.58053,7189.691229,4540067,71.26,5.420000076,53.637,99.9
"Congo, Rep.",79.31117,247.2293791,3983756,55.338,1.544999957,10.915,5.938580036
Costa Rica,97.40658,47702.81189,4871419,80.58536585,7.139999866,97.698,100
Croatia,99.12536,825.9427854,3771519,59.595,2.650000095,43.608,36.9
Cyprus,98.67843,666.8404101,6017265,57.762,5.097000122,25.196,15.72360229
Dominican Republic,90.10638,835.7893401,59932582,70.626,3.650000095,31.225,59.6
Early-demographic dividend,74.69032,7813.806692,3343906,74.16341463,11.26000023,72.638,100
East Asia & Pacific,94.91905,22512.1596,727110,76.199,1.230000019,88.695,100
East Asia & Pacific (excluding high income),94.45929,27472.25617,216028,74.923,14.52000046,82.476,99.82565308
East Asia & Pacific (IDA & IBRD countries),94.39024,5054.325344,1493318,76.06,27.60000038,45.878,99.70578055
Ecuador,91.5869,6519.230195,5100899,70.55365854,0.680000007,75.188,100
El Salvador,85.49399,4515.892701,145600,69.731,12.93099976,45.228,91.68173599
Estonia,99.88579,85973.15842,,81.15268293,,100,100
Euro area,98.77452,2377.688771,4757848,66.945,2.220000029,66.874,88.335943
Europe & Central Asia,98.87012,13167.47289,97106421,74.174,6.690000057,84.631,99.328691
Europe & Central Asia (excluding high income),98.62805,16610.41835,152874,75.133,11.14000034,31.7,100
Europe & Central Asia (IDA & IBRD countries),98.69315,47017.0273,199021,76.734,6.111999989,75.31,100
European Union,99.00245,2458.045976,352709,68.227,3.230000019,35.585,83.40899658
Fragile and conflict affected situations,60.3371,7483.878689,891082,61.179,17.61700058,63.865,53.24
Greece,97.36874,490.5103907,1833531,48.284,6.277999878,39.135,11.01371098
Heavily indebted poor countries (HIPC),56.89923,52082.21076,19059145,81.44878049,7.510000229,81.096,100
Honduras,85.1233,13871.63242,48988609,75.88847488,9.789699695,62.06393449,100
IBRD only,86.95782,88415.62806,4539326,82.69512195,4.409999847,73.631,100
IDA & IBRD total,81.50876,,79058,80.326,9.88599968,31.091,100
IDA blend,70.09351,14705.69242,8276686,78.599,7.340000153,87.132,99.588193
IDA only,57.04047,5633.795717,782565087,75.425,4.340000153,50.511,99.74872589
IDA total,61.98995,1214.703946,7082245,50.945,2.990999937,47.751,59.03598785
India,69.30256,1429.647553,8825221,55.832,4.172999859,52.164,53.7
Indonesia,92.81191,387.3235796,25978726,57.418,3.700999975,40.544,13.53834534
Italy,98.84828,3196.647524,1826034,61.37,13.06400013,63.712,44.83751297
Jordan,95.90445,7207.028905,23993408,73.5,10.18999958,78.335,96.6936
Lao PDR,58.28794,1446.068018,176500,62.24,4.420000076,28.04,65.55877686
Late-demographic dividend,95.16747,3670.429453,200755,72.019,10.57699966,62.322,80.80522156
Latin America & Caribbean,92.15993,9186.59639,2162195,78.911,10.18000031,72.868,99.232348
Latin America & Caribbean (excluding high income),91.94427,9724.12451,3211857,72.44463184,10.81038724,50.48173199,92.67709519
Latin America & the Caribbean (IDA & IBRD countries),91.98063,6075.924306,5212438,79.064,3.180000067,76.689,99.99571228
Latvia,99.8959,,,77.47317073,,89.775,100
Least developed countries: UN classification,54.96615,,,,,100,100
Lithuania,99.8156,32233.83942,585620,79.62,7.869999886,67.406,100
Low & middle income,81.42259,21717.45794,5232517,77.87317073,6.710000038,73.185,100
Low income,56.81752,46810.32796,41699644,80.43658537,5.820000172,77.16,100
Lower middle income,72.24664,1430.986898,337239,60.87,6.145999908,77.064,53.03014755
"Macao SAR, China",95.64004,6986.046687,,,,68.389,96.32962799
Mali,33.56094,61753.66007,2928221,79.8,7.570000172,86.957,100
Malta,93.30736,5765.496453,4512646,72.901,5.820000172,74.827,97.898872
Marshall Islands,98.26508,5432.41332,11358846,74.944,9.960000038,68.236,98.95729828
Mauritius,89.24984,4865.856302,1103275124,73.66913485,4.020546459,48.66569869,95.35698882
Mexico,93.51998,3244.488829,1174008219,68.30810435,5.027187951,42.45854973,76.45053687
Middle East & North Africa,77.13008,8842.717855,1228009129,74.54606446,4.052259981,52.87992304,95.81828051
Middle East & North Africa (excluding high income),74.19839,9539.706873,188869082,71.34176008,7.868265698,65.78246681,99.94042345
Middle East & North Africa (IDA & IBRD countries),73.97751,26013.13929,426741184,76.44175737,8.774610747,70.91625717,99.97317401
Middle income,83.48173,5223.351763,6794068,75.244,3.460000038,62.851,96.872699
Montenegro,98.44221,2747.480327,28501607,70.55,11.85000038,43,99.8531723
Morocco,67.08416,40610.71931,160971075,81.23280317,10.10397675,75.5096499,100
Namibia,88.27463,582.7755302,2105357,62.718,6.745999813,35.771,40.87678528
Nepal,59.62725,31835.2888,23613896,82.47560976,21.38999939,78.673,100
Other small states,81.56349,17454.84342,687789,76.22926829,12.32999992,67.965,100
Pakistan,54.73802,354.8463544,42212145,62.501,5.179999828,17.735,23
Portugal,94.47705,36406.73166,243150426,80.23987465,9.593360928,74.22304591,100
Pre-demographic dividend,56.93676,1596.311287,158276892,60.83537658,7.591530513,38.9822182,42.98562676
Romania,98.60429,50790.72415,2692085,80.47073171,7.78000021,84.313,100
Samoa,98.97326,4353.121392,352840,69.448,9.020000458,52.683,91.04530334
Senegal,52.05196,43790.7354,29856868,82.11463415,8.81000042,78.622,100
Serbia,97.96241,50789.0486,,80.88780488,,41.088,100
Singapore,96.18608,3000.948119,,68.673,,22.305,66.06251526
Small states,83.55761,10716.20258,531198,63.519,20.36599922,86.092,85.98738098
South Africa,93.10214,41412.34924,32192066,80.95121951,8.039999962,81.57,100
South Asia,65.45858,3725.063219,2093599,72.68,15.06000042,55.919,99.64033508
South Asia (IDA & IBRD),65.45858,1574.978653,11612784,61.254,4.472000122,51.394,64.06256
Spain,97.78375,,,,,100,100
Sub-Saharan Africa,60.76259,614.8647662,4041018,57.282,4.537000179,33.966,26.82874298
Sub-Saharan Africa (excluding high income),60.75778,514.3781619,557627,59.911,9.392999649,56.384,41.43701935
Sub-Saharan Africa (IDA & IBRD countries),60.76259,688.1412395,656475,55.424,6.315000057,40.508,11.43223
Togo,60.40994,21451.88617,359824,56.265,5.570000172,67.488,66.1
Tonga,99.38553,25916.29353,5083019,80.73170732,17.86000061,76.649,100
Tunisia,79.65391,7410.477525,,72.84,,35.859,88.8
Turkey,94.10609,47186.98147,,71.06243902,,84.755,100
Upper middle income,94.1701,3187.841465,5656806,71.867,4.130000114,48.701,84.026414
Uruguay,98.3359,30862.11,77474,78.419,13.30000019,94.188,100
"Venezuela, RB",94.77022,3438.825278,287815,66.117,10.78299999,26.4,80.90215302
West Bank and Gaza,95.26724,41018.65187,597539510,79.88972402,7.887690757,80.49487158,99.92730682
World,84.59739,35142.48793,3722477,83.42195122,3.420000076,100,100
Zimbabwe,83.58271,2120.589469,3364545,72.624,4.46999979,52.543,82.195298
Algeria,,816.1727046,259113866,59.61458962,5.838105903,32.84020885,28.26713314
American Samoa,,14578.2901,1877365,76.77560976,13.68000031,55.322,100
Andorra,,740.9358452,4335698,61.699,13.71800041,48.492,36.37701416
Angola,,14118.12263,4315998,74.85853659,11.02999973,69.358,100
Antigua and Barbuda,,5283.085067,2110566523,71.60005516,5.173696945,50.71714562,89.19618447
Aruba,,4302.541238,2648104054,69.23738135,5.141922822,46.67173016,79.48870463
Australia,,1182.489343,537537531,61.71612151,5.017166137,33.77825472,48.58861996
Austria,,1758.640866,160884626,59.90258032,4.134106124,39.27679292,68.65539252
"Bahamas, The",,3634.276805,118672947,68.331,5.150000095,50.595,94.83
Bahrain,,890.818313,376652905,62.60963441,5.394358979,31.06378236,38.70106457
Barbados,,81304.85001,,,,52.012,100
Belarus,,1461.671957,473683611,67.013,3.529000044,31.276,67.6
Belgium,,,,,,,
Belize,,52186.49627,2191923,80.74634146,14.61999989,61.742,100
Benin,,7729.343353,24725749,74.375,12.30000019,71.2,99.3441925
Bermuda,,5854.614497,8664860,68.702,8.208000183,69.268,98
Bhutan,,46181.95294,187904,82.35853659,7.03000021,93.587,100
Botswana,,33689.83853,3542908,81.65609756,7.139999866,91.892,100
British Virgin Islands,,38334.68385,24438804,82.18780488,8.359999657,68.444,100
Burkina Faso,,5093.972548,1386274,75.122,12.69999981,53.93,91.1
Burundi,,3807.324145,1969502,73.571,12.89999962,87.172,99.72016907
Cabo Verde,,48167.99727,65970611,82.59121951,4.550000191,91.069,100
Cambodia,,11634.0019,8806519,68.98,5.389999866,56.9,99.79746835
Cameroon,,987.4453967,15983129,64.008,11.98799992,23.969,28.99655342
Canada,,1123.883168,2491924,69.60243902,8.529999733,35.352,99.58042145
Caribbean small states,,882.4901462,8307572,67.034,0.200000003,20.663,38.7781105
Cayman Islands,,1736.211995,,65.481,,48.235,74.4139328
Central African Republic,,15742.95529,,,,31.182,98.31338501
Central Europe and the Baltics,,24079.78852,25660784,80.56829268,3.410000086,81.923,100
Chad,,48268.5912,1729663,74.096,3.599999905,100,100
Channel Islands,,9514.015897,249976350,74.1701152,6.362518646,77.60228379,95.91387917
China,,1381.425606,3178153,64.795,0.700999975,30.66,70
Comoros,,8734.189185,1609331,78.656,6.559999943,87.484,99.68401095
"Congo, Dem. Rep.",,589.1650146,1301265,60.155,2.263999939,48.193,4.1
Cote d'Ivoire,,5602.549434,2328781,71.598,15.79300022,78.277,98.52895355
Cuba,,8272.394547,90528,74.633,18.86000061,18.45,94.80374146
Curacao,,10075.44979,282891952,74.45905564,6.482946257,78.83609112,96.26092842
