second.date,Like,Partner,Age,Attractiveness,Sincerity,Intelligence,Fun,Ambitious,SharedInterests,RaceM,RaceF
0,6,5,27,6,8,8,8,7,6,Caucasian,Caucasian
0,8,4,22,7,9,10,6,6,5,Caucasian,Asian
0,10,10,22,10,10,10,10,10,10,Asian,Asian
1,9,7,23,9,9,9,9,9,9,Caucasian,Caucasian
1,7,8,24,7,9,8,9,7,7,Latino,Other
0,2,1,30,3,6,7,5,8,7,Caucasian,Asian
0,7,7,27,6,7,8,6,6,5,Caucasian,Caucasian
1,8,8,28,8,7,8,10,8,10,Caucasian,Caucasian
0,5,5,24,5,6,8,5,8,6,Caucasian,Caucasian
0,3,1,25,5,6,6,5,7,3,Asian,Caucasian
0,4,1,24,4,6,7,3,6,4,Caucasian,Caucasian
1,6,5,24,6,7,6,6,8,5,Caucasian,Black
1,7,7,28,7,8,7,6,6,6,Caucasian,Asian
0,6,6,30,6,6,6,5,6,4,Caucasian,Caucasian
0,6,7,22,6,8,7,7,9,4,Caucasian,Caucasian
1,6,9,25,8,8,7,6,7,6,Asian,Asian
0,7,7,27,6,8,8,8,8,5,Black,Caucasian
0,6,5,23,5,8,5,3,3,3,Caucasian,Caucasian
0,7,2,21,8,8,8,6,7,5,Caucasian,Caucasian
0,8,8,28,9,9,9,9,8,8,Caucasian,Caucasian
0,7,5,28,8,9,9,9,7,5,Caucasian,Caucasian
0,6,6,23,5,8,10,7,9,5,Black,Asian
1,10,10,22,10,10,10,10,10,10,Other,Latino
0,7,2,26,5,7,9,7,5,4,Caucasian,Asian
1,9,3,21,6,9,8,6,8,6,Caucasian,Caucasian
0,6,7,22,7,8,7,5,7,5,Caucasian,Caucasian
0,6,5,22,6,8,7,7,6,5,Caucasian,Other
0,5,1,25,6,8,8,7,7,5,Caucasian,Other
1,6,7,24,6,6,7,5,6,5,Other,Asian
0,8,6,28,7,7,8,8,6,9,Asian,Asian
0,5,4,26,5,7,6,6,6,4,Caucasian,Latino
0,6,7,29,7,7,8,7,8,7,Caucasian,Caucasian
0,5,6,28,6,8,8,6,5,0,Caucasian,Asian
0,6,9,30,6,8,8,8,6,4,Other,Caucasian
0,9,6,22,9,8,8,9,7,8,Asian,Other
0,4,6,32,5,6,7,2,7,3,Caucasian,Caucasian
0,8,5,27,6,9,8,6,7,4,Caucasian,Asian
1,8,9,21,9,10,9,8,7,6.5,Caucasian,Latino
